ENA_RUN_ACCESSION,SET1,ANTIBIOGRAM1,SET2,ANTIBIOGRAM2,SET3,ANTIBIOGRAM3
ERR13286038,basic,RRRUSSRRSUSRRSS,nulls,RRRUSSRRSUSRRSS,nulls+minors,RRRUSSRRSUSRRSS
ERR13286039,basic,RSSSSSSSSSSSSSS,nulls,RSSSSSSSSSSSSSS,nulls+minors,RSSSRSSSRSSSSSS
ERR13286042,basic,RRRRSURRSSRRRRR,nulls,RRRRSURRSSRRRRR,nulls+minors,RRRRSURRSSRRRRR
ERR13286043,basic,RRRRSURRSSRRRRR,nulls,RRRRSURRSSRRRRR,nulls+minors,RRRRSURRSSRRRRR
ERR13286045,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13286046,basic,RRSSSUSSSUUURUU,nulls,RRSSSUSSSUUURUU,nulls+minors,RRSSSUSSSUUURUU
ERR13286047,basic,RRRRSURRSSSRRSS,nulls,RRRRSURRSSSRRSS,nulls+minors,RRRRSURRSSSRRSS
ERR13286048,basic,URSRSSSSSSSSSSS,nulls,URSRSSSSSSSSSSS,nulls+minors,URRRSSSSSSSSSSS
ERR13286049,basic,RRSSSSSSSSSSRSS,nulls,RRSSSSSSSSSSRSS,nulls+minors,RRSSSSSSSSSSRSS
ERR13286050,basic,RRRRSSRRSSSUUSS,nulls,RRRRSSRRSSSUUSS,nulls+minors,RRRRSSRRSSSUUSS
ERR13286051,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13286052,basic,RRRRSSSSSSSRUSS,nulls,RRRRSSSSSSSRUSS,nulls+minors,RRRRSSSSSSSRUSS
ERR13286053,basic,RRSSSUSSSUSSRSS,nulls,RRSSSUSSSUSSRSS,nulls+minors,RRSSSUSSSUSSRSS
ERR13286054,basic,RRSSSSSSSUSSSSS,nulls,RRSSSSSSSUSSSSS,nulls+minors,RRSSSSSSSUSSSSS
ERR13286055,basic,RRSRSSSSSSSRSSS,nulls,RRSRSSSSSSSRSSS,nulls+minors,RRSRSSSSSSSRSSS
