UNIQUEID,WCHG_ID,ENA_RUN_ACCESSION,ENA_SAMPLE_ACCESSION,ENA_STUDY_ACCESSION,HAS_ALL_DRUGS,N_SUSCEPTIBLE,N_RESISTANT,N_DRUGS,BDQ,CAP,LZD,PZA,STM,FASTQ_FTP
site.10.subj.BC02023023.lab.BC02023023.iso.1,WTCHG_933274_70255001,ERR9992611,SAMEA110419968,PRJEB55007,False,0,2,2,R,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/001/ERR9992611/ERR9992611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/001/ERR9992611/ERR9992611_2.fastq.gz
site.10.subj.BH02818474.lab.BH02818474.iso.1,WTCHG_934880_70665042,ERR13289349,SAMEA115747815,PRJEB76547,False,1,1,2,S,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/049/ERR13289349/ERR13289349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/049/ERR13289349/ERR13289349_2.fastq.gz
site.10.subj.IF02701910.lab.IF02701910.iso.1,WTCHG_933274_70805056,ERR9992662,SAMEA110420020,PRJEB55007,False,0,2,2,R,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/002/ERR9992662/ERR9992662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/002/ERR9992662/ERR9992662_2.fastq.gz
site.10.subj.JC00987973.lab.JC00987973.iso.1,WTCHG_933274_70895065,ERR9992671,SAMEA110420029,PRJEB55007,False,0,2,2,R,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/001/ERR9992671/ERR9992671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/001/ERR9992671/ERR9992671_2.fastq.gz
site.10.subj.JC01065403.lab.JC01065403.iso.1,WTCHG_934880_71765152,ERR13289366,SAMEA115747832,PRJEB76547,False,0,2,2,R,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/066/ERR13289366/ERR13289366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/066/ERR13289366/ERR13289366_2.fastq.gz
site.10.subj.KD02381230.lab.KD02381230.iso.1,WTCHG_934881_72585234,ERR9993146,SAMEA110420503,PRJEB55007,False,1,1,2,S,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/006/ERR9993146/ERR9993146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/006/ERR9993146/ERR9993146_2.fastq.gz
site.10.subj.LA00697208.lab.LA00697208.iso.1,WTCHG_934395_73025374,ERR9992957,SAMEA110420314,PRJEB55007,False,0,2,2,R,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/007/ERR9992957/ERR9992957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/007/ERR9992957/ERR9992957_2.fastq.gz
site.10.subj.PN00429052.lab.PN00429052.iso.1,WTCHG_934880_70385014,ERR13289340,SAMEA115747806,PRJEB76547,False,1,1,2,S,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/040/ERR13289340/ERR13289340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/040/ERR13289340/ERR13289340_2.fastq.gz
site.10.subj.PS00820198.lab.PS00820198.iso.1,WTCHG_933274_71185190,ERR13286163,SAMEA115747315,PRJEB76547,False,0,1,1,,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/063/ERR13286163/ERR13286163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/063/ERR13286163/ERR13286163_2.fastq.gz
site.10.subj.PS01176863.lab.PS01176863.iso.1,WTCHG_934880_71425118,ERR13289358,SAMEA115747824,PRJEB76547,False,0,1,1,,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/058/ERR13289358/ERR13289358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/058/ERR13289358/ERR13289358_2.fastq.gz
site.10.subj.PS01190811.lab.PS01190811.iso.1,WTCHG_934880_71025174,ERR9993089,SAMEA110420446,PRJEB55007,False,0,2,2,R,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/009/ERR9993089/ERR9993089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/009/ERR9993089/ERR9993089_2.fastq.gz
site.10.subj.PS01203270.lab.PS01203270.iso.1,WTCHG_934880_71485124,ERR13289360,SAMEA115747826,PRJEB76547,False,0,1,1,,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/060/ERR13289360/ERR13289360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/060/ERR13289360/ERR13289360_2.fastq.gz
site.10.subj.PS01349116.lab.PS01349116.iso.1,WTCHG_934880_70705046,ERR13289350,SAMEA115747816,PRJEB76547,False,0,2,2,R,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/050/ERR13289350/ERR13289350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/050/ERR13289350/ERR13289350_2.fastq.gz
site.10.subj.TD03473931.lab.TD03473931.iso.1,WTCHG_934880_70825058,ERR13289351,SAMEA115747817,PRJEB76547,False,1,1,2,S,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/051/ERR13289351/ERR13289351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/051/ERR13289351/ERR13289351_2.fastq.gz
site.10.subj.TD03530721.lab.TD03530721.iso.1,WTCHG_934881_72045276,ERR9993186,SAMEA110420544,PRJEB55007,False,1,1,2,S,,R,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/006/ERR9993186/ERR9993186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/006/ERR9993186/ERR9993186_2.fastq.gz
