set,drug,method,dataset,quality,sensitivity,sensitivity_sem,specificity,specificity_sem,PPV,PPV_sem,RR,SR,UR,RS,SS,US,Total
basic,INH,UKMYC,bootstrap-0,ALL,88.8030888030888,,95.0207468879668,,95.0413223140496,,,,,,,,
basic,INH,UKMYC,bootstrap-0,HIGH,93.17269076305222,,96.41434262948208,,96.2655601659751,,,,,,,,
basic,INH,UKMYC,bootstrap-1,ALL,91.82879377431907,,94.65020576131687,,94.77911646586345,,,,,,,,
basic,INH,UKMYC,bootstrap-1,HIGH,94.35483870967742,,96.82539682539682,,96.69421487603306,,,,,,,,
basic,INH,UKMYC,bootstrap-10,ALL,94.56066945606695,,95.78544061302682,,95.35864978902954,,,,,,,,
basic,INH,UKMYC,bootstrap-10,HIGH,91.7910447761194,,96.55172413793103,,96.8503937007874,,,,,,,,
basic,INH,UKMYC,bootstrap-11,ALL,92.5925925925926,,94.94163424124513,,94.53781512605042,,,,,,,,
basic,INH,UKMYC,bootstrap-11,HIGH,94.82071713147411,,96.3855421686747,,96.35627530364373,,,,,,,,
basic,INH,UKMYC,bootstrap-12,ALL,93.51145038167938,,94.9579831932773,,95.3307392996109,,,,,,,,
basic,INH,UKMYC,bootstrap-12,HIGH,93.9622641509434,,94.8936170212766,,95.40229885057471,,,,,,,,
basic,INH,UKMYC,bootstrap-13,ALL,92.63565891472868,,95.86776859504133,,95.98393574297188,,,,,,,,
basic,INH,UKMYC,bootstrap-13,HIGH,94.09282700421942,,98.85931558935361,,98.67256637168141,,,,,,,,
basic,INH,UKMYC,bootstrap-14,ALL,89.96282527881041,,98.7012987012987,,98.77551020408163,,,,,,,,
basic,INH,UKMYC,bootstrap-14,HIGH,93.63957597173145,,95.39170506912443,,96.36363636363636,,,,,,,,
basic,INH,UKMYC,bootstrap-15,ALL,91.05058365758755,,92.18106995884774,,92.4901185770751,,,,,,,,
basic,INH,UKMYC,bootstrap-15,HIGH,93.60000000000001,,96.0,,95.90163934426229,,,,,,,,
basic,INH,UKMYC,bootstrap-16,ALL,91.05058365758755,,94.65020576131687,,94.73684210526315,,,,,,,,
basic,INH,UKMYC,bootstrap-16,HIGH,92.54901960784314,,96.73469387755102,,96.72131147540983,,,,,,,,
basic,INH,UKMYC,bootstrap-17,ALL,90.67164179104478,,95.6896551724138,,96.04743083003953,,,,,,,,
basic,INH,UKMYC,bootstrap-17,HIGH,95.54655870445345,,96.83794466403161,,96.72131147540983,,,,,,,,
basic,INH,UKMYC,bootstrap-18,ALL,93.7984496124031,,96.28099173553719,,96.41434262948208,,,,,,,,
basic,INH,UKMYC,bootstrap-18,HIGH,95.27272727272728,,96.44444444444444,,97.03703703703704,,,,,,,,
basic,INH,UKMYC,bootstrap-19,ALL,92.15686274509804,,95.51020408163265,,95.52845528455285,,,,,,,,
basic,INH,UKMYC,bootstrap-19,HIGH,94.55252918287937,,93.4156378600823,,93.82239382239382,,,,,,,,
basic,INH,UKMYC,bootstrap-2,ALL,93.44262295081968,,94.921875,,94.6058091286307,,,,,,,,
basic,INH,UKMYC,bootstrap-2,HIGH,95.18072289156626,,96.41434262948208,,96.34146341463415,,,,,,,,
basic,INH,UKMYC,bootstrap-20,ALL,92.56198347107438,,96.12403100775194,,95.72649572649573,,,,,,,,
basic,INH,UKMYC,bootstrap-20,HIGH,93.65079365079364,,97.17741935483872,,97.11934156378601,,,,,,,,
basic,INH,UKMYC,bootstrap-21,ALL,91.33858267716536,,96.34146341463415,,96.2655601659751,,,,,,,,
basic,INH,UKMYC,bootstrap-21,HIGH,94.6058091286307,,98.06949806949807,,97.85407725321889,,,,,,,,
basic,INH,UKMYC,bootstrap-22,ALL,89.49579831932773,,94.65648854961832,,93.83259911894272,,,,,,,,
basic,INH,UKMYC,bootstrap-22,HIGH,93.3609958506224,,95.36679536679536,,94.9367088607595,,,,,,,,
basic,INH,UKMYC,bootstrap-23,ALL,91.63179916317992,,94.25287356321839,,93.58974358974359,,,,,,,,
basic,INH,UKMYC,bootstrap-23,HIGH,95.76923076923077,,97.91666666666666,,98.03149606299213,,,,,,,,
basic,INH,UKMYC,bootstrap-24,ALL,90.03831417624522,,97.07112970711297,,97.10743801652893,,,,,,,,
basic,INH,UKMYC,bootstrap-24,HIGH,92.36641221374046,,97.89915966386555,,97.97570850202429,,,,,,,,
basic,INH,UKMYC,bootstrap-25,ALL,91.39344262295081,,98.046875,,97.80701754385966,,,,,,,,
basic,INH,UKMYC,bootstrap-25,HIGH,93.44262295081968,,96.875,,96.61016949152543,,,,,,,,
basic,INH,UKMYC,bootstrap-26,ALL,92.91666666666667,,93.84615384615384,,93.30543933054393,,,,,,,,
basic,INH,UKMYC,bootstrap-26,HIGH,93.22709163346613,,94.37751004016064,,94.35483870967742,,,,,,,,
basic,INH,UKMYC,bootstrap-27,ALL,93.45454545454545,,96.88888888888889,,97.34848484848484,,,,,,,,
basic,INH,UKMYC,bootstrap-27,HIGH,94.3820224719101,,95.70815450643777,,96.18320610687023,,,,,,,,
basic,INH,UKMYC,bootstrap-28,ALL,94.00749063670412,,93.56223175965665,,94.3609022556391,,,,,,,,
basic,INH,UKMYC,bootstrap-28,HIGH,94.55252918287937,,95.88477366255144,,96.04743083003953,,,,,,,,
basic,INH,UKMYC,bootstrap-29,ALL,93.65079365079364,,96.37096774193549,,96.3265306122449,,,,,,,,
basic,INH,UKMYC,bootstrap-29,HIGH,94.86166007905138,,96.76113360323887,,96.7741935483871,,,,,,,,
basic,INH,UKMYC,bootstrap-3,ALL,90.49429657794677,,94.09282700421942,,94.44444444444444,,,,,,,,
basic,INH,UKMYC,bootstrap-3,HIGH,94.1908713692946,,97.2972972972973,,97.00854700854701,,,,,,,,
basic,INH,UKMYC,bootstrap-30,ALL,94.04761904761905,,93.95161290322581,,94.04761904761905,,,,,,,,
basic,INH,UKMYC,bootstrap-30,HIGH,93.93939393939394,,94.91525423728814,,95.38461538461539,,,,,,,,
basic,INH,UKMYC,bootstrap-31,ALL,90.8695652173913,,95.92592592592592,,95.0,,,,,,,,
basic,INH,UKMYC,bootstrap-31,HIGH,92.33576642335767,,95.13274336283186,,95.83333333333334,,,,,,,,
basic,INH,UKMYC,bootstrap-32,ALL,90.98360655737704,,96.875,,96.52173913043478,,,,,,,,
basic,INH,UKMYC,bootstrap-32,HIGH,93.07692307692308,,95.41666666666667,,95.65217391304348,,,,,,,,
basic,INH,UKMYC,bootstrap-33,ALL,90.33613445378151,,91.6030534351145,,90.71729957805907,,,,,,,,
basic,INH,UKMYC,bootstrap-33,HIGH,94.20849420849422,,97.0954356846473,,97.21115537848605,,,,,,,,
basic,INH,UKMYC,bootstrap-34,ALL,87.20930232558139,,94.62809917355372,,94.53781512605042,,,,,,,,
basic,INH,UKMYC,bootstrap-34,HIGH,92.01680672268907,,97.32824427480917,,96.90265486725663,,,,,,,,
basic,INH,UKMYC,bootstrap-35,ALL,92.4,,95.6,,95.45454545454545,,,,,,,,
basic,INH,UKMYC,bootstrap-35,HIGH,95.76271186440678,,97.72727272727273,,97.41379310344827,,,,,,,,
basic,INH,UKMYC,bootstrap-36,ALL,90.18867924528303,,93.61702127659575,,94.09448818897637,,,,,,,,
basic,INH,UKMYC,bootstrap-36,HIGH,93.57429718875501,,98.00796812749005,,97.89915966386555,,,,,,,,
basic,INH,UKMYC,bootstrap-37,ALL,91.25475285171103,,95.78059071729957,,96.0,,,,,,,,
basic,INH,UKMYC,bootstrap-37,HIGH,92.54901960784314,,95.10204081632652,,95.16129032258065,,,,,,,,
basic,INH,UKMYC,bootstrap-38,ALL,92.578125,,95.90163934426229,,95.95141700404858,,,,,,,,
basic,INH,UKMYC,bootstrap-38,HIGH,93.75,,94.73684210526315,,95.50561797752809,,,,,,,,
basic,INH,UKMYC,bootstrap-39,ALL,91.26984126984127,,95.96774193548387,,95.83333333333334,,,,,,,,
basic,INH,UKMYC,bootstrap-39,HIGH,92.93680297397769,,94.8051948051948,,95.41984732824427,,,,,,,,
basic,INH,UKMYC,bootstrap-4,ALL,90.47619047619048,,93.54838709677419,,93.44262295081968,,,,,,,,
basic,INH,UKMYC,bootstrap-4,HIGH,95.48872180451127,,96.15384615384616,,96.57794676806084,,,,,,,,
basic,INH,UKMYC,bootstrap-40,ALL,91.66666666666666,,94.35483870967742,,94.28571428571428,,,,,,,,
basic,INH,UKMYC,bootstrap-40,HIGH,90.65040650406505,,95.2755905511811,,94.8936170212766,,,,,,,,
basic,INH,UKMYC,bootstrap-41,ALL,94.140625,,96.72131147540983,,96.78714859437751,,,,,,,,
basic,INH,UKMYC,bootstrap-41,HIGH,94.23076923076923,,97.08333333333333,,97.22222222222221,,,,,,,,
basic,INH,UKMYC,bootstrap-42,ALL,86.61417322834646,,92.27642276422763,,92.05020920502092,,,,,,,,
basic,INH,UKMYC,bootstrap-42,HIGH,94.50980392156862,,94.6938775510204,,94.88188976377953,,,,,,,,
basic,INH,UKMYC,bootstrap-43,ALL,93.4156378600823,,95.71984435797665,,95.37815126050421,,,,,,,,
basic,INH,UKMYC,bootstrap-43,HIGH,92.94117647058823,,96.3265306122449,,96.34146341463415,,,,,,,,
basic,INH,UKMYC,bootstrap-44,ALL,89.84375,,95.08196721311475,,95.0413223140496,,,,,,,,
basic,INH,UKMYC,bootstrap-44,HIGH,94.82758620689656,,95.52238805970148,,94.82758620689656,,,,,,,,
basic,INH,UKMYC,bootstrap-45,ALL,92.19330855018588,,95.23809523809523,,95.75289575289575,,,,,,,,
basic,INH,UKMYC,bootstrap-45,HIGH,96.99570815450643,,95.88014981273409,,95.35864978902954,,,,,,,,
basic,INH,UKMYC,bootstrap-46,ALL,91.37931034482759,,94.77611940298507,,93.80530973451327,,,,,,,,
basic,INH,UKMYC,bootstrap-46,HIGH,96.44268774703558,,97.16599190283401,,97.21115537848605,,,,,,,,
basic,INH,UKMYC,bootstrap-47,ALL,94.65648854961832,,96.63865546218487,,96.875,,,,,,,,
basic,INH,UKMYC,bootstrap-47,HIGH,92.83018867924528,,92.76595744680851,,93.5361216730038,,,,,,,,
basic,INH,UKMYC,bootstrap-48,ALL,93.10344827586206,,96.65271966527197,,96.81274900398407,,,,,,,,
basic,INH,UKMYC,bootstrap-48,HIGH,96.33699633699634,,94.27312775330397,,95.28985507246377,,,,,,,,
basic,INH,UKMYC,bootstrap-49,ALL,88.93280632411067,,94.73684210526315,,94.53781512605042,,,,,,,,
basic,INH,UKMYC,bootstrap-49,HIGH,94.16666666666667,,95.38461538461539,,94.9579831932773,,,,,,,,
basic,INH,UKMYC,bootstrap-5,ALL,87.25868725868726,,95.4356846473029,,95.35864978902954,,,,,,,,
