,dataset1,quality1,dataset2,quality2,drug,sensitivity,specificity,PPV,NPV
0,basic,ALL,basic,HIGH,INH,0.111,0.521,0.43,0.164
1,basic,ALL,basic,HIGH,RIF,0.472,0.525,0.354,0.704
2,basic,ALL,basic,HIGH,PZA,,,,
3,basic,ALL,basic,HIGH,EMB,0.386,0.149,0.547,0.677
4,basic,ALL,basic,HIGH,BDQ,,,,
5,basic,ALL,basic,HIGH,LZD,0.067,0.388,0.367,0.01
6,basic,ALL,basic,HIGH,MXF,0.312,0.658,0.792,0.798
7,basic,ALL,basic,HIGH,LEV,0.298,0.942,0.765,0.482
8,basic,ALL,basic,HIGH,CFZ,0.566,0.951,0.027,0.0
9,basic,ALL,basic,HIGH,DLM,0.116,0.371,0.395,0.0
10,basic,ALL,basic,HIGH,AMI,0.01,0.812,0.966,0.05
11,basic,ALL,basic,HIGH,STM,,,,
12,basic,ALL,basic,HIGH,ETH,0.22,0.652,0.856,0.47
13,basic,ALL,basic,HIGH,KAN,0.028,0.791,0.993,0.1
14,basic,ALL,basic,HIGH,CAP,,,,
15,basic,ALL,nulls+minors,ALL,INH,0.489,0.554,0.604,0.552
16,basic,ALL,nulls+minors,ALL,RIF,0.314,0.456,0.521,0.366
17,basic,ALL,nulls+minors,ALL,PZA,0.268,0.65,0.728,0.362
18,basic,ALL,nulls+minors,ALL,EMB,0.646,0.656,0.79,0.704
19,basic,ALL,nulls+minors,ALL,BDQ,0.151,1.0,0.842,0.455
20,basic,ALL,nulls+minors,ALL,LZD,0.293,0.563,0.717,0.621
21,basic,ALL,nulls+minors,ALL,MXF,0.115,0.566,0.786,0.176
22,basic,ALL,nulls+minors,ALL,LEV,0.115,0.645,0.818,0.191
23,basic,ALL,nulls+minors,ALL,CFZ,0.635,0.712,0.99,0.936
24,basic,ALL,nulls+minors,ALL,DLM,1.0,1.0,1.0,1.0
25,basic,ALL,nulls+minors,ALL,AMI,0.455,0.702,0.746,0.566
26,basic,ALL,nulls+minors,ALL,STM,0.838,0.826,0.873,0.908
27,basic,ALL,nulls+minors,ALL,ETH,0.783,0.808,0.918,0.86
28,basic,ALL,nulls+minors,ALL,KAN,0.442,0.611,0.676,0.55
29,basic,ALL,nulls+minors,ALL,CAP,0.015,0.993,0.779,0.051
30,basic,ALL,nulls+minors,HIGH,INH,0.014,0.955,0.862,0.03
31,basic,ALL,nulls+minors,HIGH,RIF,0.058,0.921,0.764,0.136
32,basic,ALL,nulls+minors,HIGH,PZA,,,,
33,basic,ALL,nulls+minors,HIGH,EMB,0.186,0.074,0.445,0.422
34,basic,ALL,nulls+minors,HIGH,BDQ,,,,
35,basic,ALL,nulls+minors,HIGH,LZD,0.004,0.834,0.979,0.002
36,basic,ALL,nulls+minors,HIGH,MXF,0.007,0.384,0.898,0.07
37,basic,ALL,nulls+minors,HIGH,LEV,0.004,0.76,0.873,0.021
38,basic,ALL,nulls+minors,HIGH,CFZ,0.566,0.785,0.018,0.0
39,basic,ALL,nulls+minors,HIGH,DLM,0.116,0.371,0.395,0.0
40,basic,ALL,nulls+minors,HIGH,AMI,0.001,0.52,0.708,0.008
41,basic,ALL,nulls+minors,HIGH,STM,,,,
42,basic,ALL,nulls+minors,HIGH,ETH,0.122,0.473,0.945,0.346
43,basic,ALL,nulls+minors,HIGH,KAN,0.002,0.426,0.669,0.015
44,basic,ALL,nulls+minors,HIGH,CAP,,,,
45,basic,HIGH,nulls+minors,HIGH,INH,0.383,0.496,0.54,0.43
46,basic,HIGH,nulls+minors,HIGH,RIF,0.24,0.48,0.532,0.276
47,basic,HIGH,nulls+minors,HIGH,EMB,0.661,0.75,0.88,0.715
48,basic,HIGH,nulls+minors,HIGH,LZD,0.363,0.317,0.375,0.586
49,basic,HIGH,nulls+minors,HIGH,MXF,0.097,0.696,0.893,0.141
50,basic,HIGH,nulls+minors,HIGH,LEV,0.073,0.723,0.89,0.121
51,basic,HIGH,nulls+minors,HIGH,CFZ,1.0,0.84,0.923,0.992
52,basic,HIGH,nulls+minors,HIGH,DLM,1.0,,,1.0
53,basic,HIGH,nulls+minors,HIGH,AMI,0.408,0.701,0.742,0.486
54,basic,HIGH,nulls+minors,HIGH,ETH,0.756,0.798,0.911,0.831
55,basic,HIGH,nulls+minors,HIGH,KAN,0.35,0.61,0.676,0.43
56,nulls+minors,ALL,nulls+minors,HIGH,INH,0.072,0.605,0.492,0.108
57,nulls+minors,ALL,nulls+minors,HIGH,RIF,0.352,0.54,0.351,0.52
58,nulls+minors,ALL,nulls+minors,HIGH,PZA,,,,
59,nulls+minors,ALL,nulls+minors,HIGH,EMB,0.37,0.17,0.609,0.647
60,nulls+minors,ALL,nulls+minors,HIGH,BDQ,,,,
61,nulls+minors,ALL,nulls+minors,HIGH,LZD,0.047,0.744,0.694,0.007
62,nulls+minors,ALL,nulls+minors,HIGH,MXF,0.209,0.732,0.694,0.537
63,nulls+minors,ALL,nulls+minors,HIGH,LEV,0.152,0.899,0.699,0.265
64,nulls+minors,ALL,nulls+minors,HIGH,CFZ,0.392,0.936,0.016,0.0
65,nulls+minors,ALL,nulls+minors,HIGH,DLM,0.116,0.371,0.395,0.0
66,nulls+minors,ALL,nulls+minors,HIGH,AMI,0.007,0.783,0.957,0.033
67,nulls+minors,ALL,nulls+minors,HIGH,STM,,,,
68,nulls+minors,ALL,nulls+minors,HIGH,ETH,0.2,0.628,0.864,0.44
69,nulls+minors,ALL,nulls+minors,HIGH,KAN,0.017,0.762,0.992,0.061
70,nulls+minors,ALL,nulls+minors,HIGH,CAP,,,,
